Chandigarh,213,1052,2257,3961,5632,7900,9258,9258,density
Chhattisgarh,55,68,86,104,130,154,189,189,density
Lakshadweep,1043,1020,978,975,943,948,947,,Sex Ratio
Lakshadweep,15.23,27.15,51.76,68.42,81.78,86.66,92.28,,Literacy Rate
Delhi,1176,1793,2742,4194,6352,9340,11320,11320,density
Goa,148,159,215,272,316,364,394,394,density
Gujarat,83,105,136,174,211,258,308,308,density
Harya,128,172,227,292,372,478,573,573,density
Himachal Pradesh,43,51,62,77,93,109,123,123,density
Jammu & Kashmir,32,35,46,59,77,100,124,124,density
Jharkhand,122,146,179,221,274,338,414,414,density
Kartaka,101,123,153,194,235,276,319,319,density
Kerala,349,435,549,655,749,820,860,860,density
Lakshadweep,657,753,994,1258,1616,2022,2149,2149,density
Madhya Pradesh,61,75,98,124,158,196,236,236,density
Maharashtra,104,128,164,204,257,315,365,365,density
Manipur,26,35,48,64,82,97,115,115,density
Meghalaya,27,34,45,60,79,103,132,132,density
Mizoram,9,13,16,23,33,42,52,52,density
galand,13,22,31,47,73,120,119,119,density
Odisha,94,113,141,169,203,236,270,270,density
Puducherry,645,750,959,1229,1683,1989,2547,2547,density
Punjab,182,221,269,333,403,484,551,551,density
Rajasthan,47,59,75,100,129,165,200,200,density
Sikkim,19,23,30,45,57,76,86,86,density
Tamil du,232,259,317,372,429,480,555,555,density
Tripura,61,109,148,196,263,305,350,350,density
Uttar Pradesh,250,291,348,436,548,690,829,829,density
Uttarakhand,55,67,84,107,133,159,189,189,density
West Bengal,296,394,499,615,767,903,1028,1028,density
